codice;codice_via;nomevia;codviada;nome_via_origine;codice_via_destinazione;nome_via_destinazione;ordinanza;stato;lunghezza;larghezza;codice_utilizzo;duso;tipologia_percorso;codarco1;nomevia1;codarco2;nomevia2;codarco3;nomevia3;codarco4;nomevia4;codarco5;nomevia5;geo_point_2d;geo_shape;tipologia;nomequart
545;23050;VIA ARISTOTILE FIORAVANTI;34500;VIA DANIELE MANIN;4800;VIA FRANCESCO BARBIERI;4000/343434;A;115.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;3548;VIA ARISTOTILE FIORAVANTI;;;;;;;;;44.5172721013, 11.3420192182;"{""coordinates"": [[[11.341864935166049, 44.51777733293857], [11.3418590437765, 44.517710728493434], [11.341875103106432, 44.51762986380204], [11.341900977183679, 44.51755340681112], [11.342217616931627, 44.516775953660975]]], ""type"": ""MultiLineString""}";6718;Navile
546;23050;VIA ARISTOTILE FIORAVANTI;4800;VIA FRANCESCO BARBIERI;11850;VIA DIONISIO CALVART;4000/343434;A;81.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;4729;VIA ARISTOTILE FIORAVANTI;;;;;;;;;44.5164178969, 11.3422949549;"{""coordinates"": [[[11.342217616931627, 44.516775953660975], [11.342276190661668, 44.51656392496227], [11.342333773276156, 44.516207951018465], [11.342346820837145, 44.51605513829772]]], ""type"": ""MultiLineString""}";6718;Navile
547;23050;VIA ARISTOTILE FIORAVANTI;11850;VIA DIONISIO CALVART;55500;VIA LIONELLO SPADA;4000/343434;A;94.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;3233;VIA ARISTOTILE FIORAVANTI;6042;VIA ARISTOTILE FIORAVANTI;6043;VIA ARISTOTILE FIORAVANTI;;;;;44.5156321505, 11.3423202761;"{""coordinates"": [[[11.342346820837145, 44.51605513829772], [11.342346950637104, 44.51590587668465], [11.34232771628522, 44.5156329693186], [11.342281634756908, 44.51528355309184], [11.34227336297652, 44.51521061485427]]], ""type"": ""MultiLineString""}";6718;Navile
761;0;;0;;0;;4000/343434;A;253.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5158548273, 11.2855883486;"{""coordinates"": [[[11.284520964850026, 44.515231078604565], [11.284615970948389, 44.51516884194716], [11.284793122196339, 44.515282707752185], [11.284961058407527, 44.51538713360769], [11.285113400997822, 44.515421318325615], [11.28517396240702, 44.515434417212155], [11.285288384659774, 44.51551219903032], [11.28537089036417, 44.51556828494769], [11.285661140322901, 44.51576559352948], [11.285773258507737, 44.51584181099855], [11.285864956854505, 44.515919769669566], [11.28603684538738, 44.516163588825464], [11.286076892133748, 44.51622039426481], [11.286168233431196, 44.516364989827906], [11.286330135041688, 44.51662651599377], [11.286362230846269, 44.51663070300865], [11.28623346928844, 44.51680139967245]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
1034;28650;VIA ANTONIO GRAMSCI;8800;VIA CESARE BOLDRINI;60700;PIAZZA XX SETTEMBRE;4000/343434;A;30.0;0.0;3002;Ciclabile;sede propria;9635;VIA ANTONIO GRAMSCI;;;;;;;;;44.5040337702, 11.3436776115;"{""coordinates"": [[[11.343572057348545, 44.50414417886115], [11.343783165685297, 44.50392336163404]]], ""type"": ""MultiLineString""}";2901;Porto - Saragozza
1041;62850;VIA LUIGI ZAMBONI;49300;PIAZZA DI PORTA RAVEGNANA;2920;PIAZZETTA ACHILLE ARDIGO';4000/343434;A;86.0;0.0;3003;Pedonale-Ciclabile;area pedonale;1373;VIA LUIGI ZAMBONI;1390;VIA LUIGI ZAMBONI;;;;;;;44.4948431801, 11.3471206511;"{""coordinates"": [[[11.346795104007155, 44.49452436379712], [11.34693208677466, 44.49470723861975], [11.346978942461098, 44.49476349269852], [11.347078889562532, 44.49484680216965], [11.347152162204932, 44.49490757606806], [11.347244011020692, 44.4949495564666], [11.347362521506113, 44.49501405557667], [11.347504079320055, 44.495093745501194]]], ""type"": ""MultiLineString""}";6716;Santo Stefano
1043;0;;0;;0;;4000/343434;A;66.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.4982284157, 11.3563453699;"{""coordinates"": [[[11.35618858732242, 44.49849610433871], [11.356326632830017, 44.49812411728048], [11.356609606043751, 44.49810418036858]]], ""type"": ""MultiLineString""}";2901;Santo Stefano
1053;50100;VIA AUGUSTO RIGHI;1500;VIA ALESSANDRINI;30150;VIA DELL'INDIPENDENZA;4000/343434;A;216.0;0.0;3002;Ciclabile;corsia preferenziale bus/bici;3060;VIA AUGUSTO RIGHI;7812;;7813;VIA DELL'INDIPENDENZA;;;;;44.4989001561, 11.3451783122;"{""coordinates"": [[[11.34378337534363, 44.49906670988855], [11.343872825026905, 44.499075581918206], [11.343987646694613, 44.49908766655868], [11.34410889042192, 44.49909239974137], [11.344176284509276, 44.49909583364736], [11.344357150059581, 44.49907768513485], [11.344831580100008, 44.49900056617095]], [[11.344831580100008, 44.49900056617095], [11.345351044041177, 44.49890476262641]], [[11.345351044041177, 44.49890476262641], [11.345778793576743, 44.49880853612209], [11.346365271158865, 44.49858641007701]], [[11.346285144832688, 44.498655698284864], [11.346365271158865, 44.49858641007701]], [[11.346365271158865, 44.49858641007701], [11.346240102134514, 44.49859481422524]], [[11.344780272644353, 44.4990265621123], [11.344831580100008, 44.49900056617095]], [[11.344831580100008, 44.49900056617095], [11.344769613218434, 44.49899298310773]], [[11.345300806784818, 44.498931807463784], [11.345351044041177, 44.49890476262641]], [[11.345351044041177, 44.49890476262641], [11.345288797257384, 44.49889846297816]]], ""type"": ""MultiLineString""}";6715;Santo Stefano
1054;21850;VIA DE' FALEGNAMI;0;;0;;4000/343434;A;139.0;0.0;3003;Pedonale-Ciclabile;area pedonale;3005;VIA GALLIERA;3043;VIA DE' FALEGNAMI;;;;;;;44.4990435947, 11.3429549107;"{""coordinates"": [[[11.343782947574988, 44.499066667460326], [11.343220909521973, 44.49905504616204], [11.34277415574431, 44.499052617878526], [11.34234625497757, 44.49906144145037], [11.342295623948015, 44.498993557187134], [11.342249234220123, 44.49884850783966]]], ""type"": ""MultiLineString""}";6716;Porto - Saragozza
1063;24200;PIAZZA S.FRANCESCO;33900;PIAZZA MALPIGHI;0;;4000/343434;A;89.0;0.0;3002;Ciclabile;sede propria;976;;;;;;;;;;44.4951377059, 11.3361882701;"{""coordinates"": [[[11.335532350682296, 44.49518961365264], [11.335895171015002, 44.49516968934843], [11.33637623907963, 44.49512444001264]], [[11.33637623907963, 44.49512444001264], [11.336637896921271, 44.49508813039184]], [[11.336533023359225, 44.49513776122726], [11.336637896921271, 44.49508813039184]], [[11.336637896921271, 44.49508813039184], [11.33651470973594, 44.495070147156746]], [[11.336321791523048, 44.4951469277097], [11.33637623907963, 44.49512444001264]], [[11.33637623907963, 44.49512444001264], [11.336315523097753, 44.495112784767876]]], ""type"": ""MultiLineString""}";2901;Porto - Saragozza
736;0;;0;;0;;4000/343434;A;177.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;;;;;;;;;;;44.5076225632, 11.2784865215;"{""coordinates"": [[[11.278168052640515, 44.506925955397904], [11.278565611958845, 44.50758056014144], [11.278397070211588, 44.50762758894507], [11.278805029403847, 44.508325383817855]]], ""type"": ""MultiLineString""}";6718;Borgo Panigale - Reno
737;0;;0;;0;;4000/343434;A;139.0;0.0;3003;Pedonale-Ciclabile;promiscuo ciclopedonale;;;;;;;;;;;44.5064277091, 11.2782088861;"{""coordinates"": [[[11.278168052640515, 44.506925955397904], [11.278152122464684, 44.506886923425085], [11.277874394414463, 44.506420394916574], [11.278772871937736, 44.506132215330155]]], ""type"": ""MultiLineString""}";6717;Borgo Panigale - Reno
738;0;;0;;0;;4000/343434;A;135.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5071785473, 11.2774426368;"{""coordinates"": [[[11.278168052640515, 44.506925955397904], [11.278073215912958, 44.50697333401633], [11.277944706086595, 44.50706077403509], [11.277814953958195, 44.50711576161448], [11.277680328512615, 44.507197680698795], [11.277641810150039, 44.50721967497482], [11.27758723627381, 44.50723353585568], [11.277487326766579, 44.50724552964896], [11.277262398489954, 44.50723050922273], [11.277189748726519, 44.507234867009046], [11.27708989318616, 44.507248271131125], [11.277029636060986, 44.50726789941796], [11.276961189243984, 44.507279228329125], [11.276848887021307, 44.50727595033705], [11.276788760265589, 44.50724756672914], [11.276752392701933, 44.50722291787459], [11.276737763709413, 44.50720063420825], [11.276736521817801, 44.50715581194965]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
741;24900;VIA GALEAZZA;0;;0;;4000/343434;A;250.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;7073;VIA GALEAZZA;9044;VIA GALEAZZA;;;;;;;44.5032537428, 11.2767957547;"{""coordinates"": [[[11.27817156684115, 44.50281039487175], [11.27807675662031, 44.502857381752754], [11.278032755492424, 44.502898535531045], [11.27790742622629, 44.50292381632109], [11.27784500748878, 44.502942736382565], [11.277775674747316, 44.502964317078515], [11.277711188261875, 44.50293048913068], [11.277644574102446, 44.50293190086316], [11.277589166723759, 44.50295067268514], [11.277526845413236, 44.502972105172084], [11.277471535847805, 44.50299338924308], [11.277439489631071, 44.50298149862913], [11.277383589771164, 44.50298771143822], [11.277303835713008, 44.50301202796749], [11.277241513176238, 44.50303346123795], [11.277138001833455, 44.50307839447147], [11.277048710066916, 44.50312805497677], [11.276900857040618, 44.50325113609101], [11.276441641571692, 44.503391564869716], [11.275394495007486, 44.50371640705199]]], ""type"": ""MultiLineString""}";6718;Borgo Panigale - Reno
749;52580;VIALE GAETANO SALVEMINI;0;;0;;4000/343434;A;319.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;9713;VIALE GAETANO SALVEMINI;9729;VIALE GAETANO SALVEMINI;9734;ROTONDA BATTAGLIA DI CASTELDEBOLE;;;;;44.5059734689, 11.2824229678;"{""coordinates"": [[[11.281203802724253, 44.504863896840995], [11.281328022539492, 44.50496342274999], [11.281754791219257, 44.505301745425434], [11.281853752196186, 44.50537742797469], [11.282067441892254, 44.50554084969196], [11.282145314963238, 44.50560896722829], [11.282373151317357, 44.50581570593231], [11.282393994526972, 44.50583659590028], [11.28246526103253, 44.50590802132424], [11.282528806579874, 44.50598247376015], [11.282629337177768, 44.506107170684196], [11.282689794623996, 44.50618820813194], [11.282724260443871, 44.50624110870672], [11.282780644455237, 44.506327650458225], [11.282805689010681, 44.50637118211827], [11.282928396516938, 44.50658446584716], [11.283097051714256, 44.506877608931255], [11.283189564594588, 44.506859917803446], [11.283259206685813, 44.50685702728204], [11.283322713276142, 44.506864231097424], [11.283355039021936, 44.506870302739465], [11.283388569009887, 44.50687892415406], [11.28345244317681, 44.50690339846198], [11.283498415422217, 44.50692943750638], [11.283542287793948, 44.50696330805397], [11.283567958081553, 44.50699045699013], [11.28359110916377, 44.50702148460624]]], ""type"": ""MultiLineString""}";6718;Borgo Panigale - Reno
752;4060;PONTE RICCARDO BACCHELLI;0;;0;;4000/343434;A;146.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;9197;;9198;VIALE PALMIRO TOGLIATTI;;;;;;;44.5048720016, 11.2907489532;"{""coordinates"": [[[11.289902902381163, 44.505126002131426], [11.29159500397929, 44.5046180010262]]], ""type"": ""MultiLineString""}";6718;Borgo Panigale - Reno
754;54800;VIA TELEMACO SIGNORINI;0;;0;;4000/343434;A;74.0;0.0;6708;Percorso naturalistico;pavimentato;;;;;;;;;;;44.5049410913, 11.2915254136;"{""coordinates"": [[[11.29159500397929, 44.5046180010262], [11.291505698116705, 44.50480177812022], [11.29149735846954, 44.504878706090075], [11.291494159437754, 44.50495251184966], [11.291501439049132, 44.50501708398296], [11.291516434603606, 44.50514241588852], [11.291575071608065, 44.50526792934909]]], ""type"": ""MultiLineString""}";6719;Borgo Panigale - Reno
413;0;;0;;0;;4000/343434;A;123.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5128647578, 11.3266242506;"{""coordinates"": [[[11.325966672068965, 44.51315868041423], [11.326029836362034, 44.513101671324115], [11.326139947225364, 44.51305292135993], [11.326359622627587, 44.51295008615206], [11.326557261580053, 44.512869144556674], [11.326801837838973, 44.51278971182478], [11.327156281157212, 44.512684035784886], [11.32730689768297, 44.51262168687399]]], ""type"": ""MultiLineString""}";2901;Navile
415;63100;VIA FRANCESCO ZANARDI;0;;0;;4000/343434;A;421.0;0.0;3002;Ciclabile;corsia ciclabile su strada;3132;VIA FRANCESCO ZANARDI;4914;VIA FRANCESCO ZANARDI;;;;;;;44.5108891497, 11.3282916294;"{""coordinates"": [[[11.32730689768297, 44.51262168687399], [11.327356758866996, 44.51248830524433], [11.327644630779735, 44.51186266071814], [11.327718278741228, 44.51176148054486], [11.327913595528344, 44.51154982870237], [11.328270579440007, 44.511163006738116], [11.32841224150643, 44.51096034394652], [11.32849897937699, 44.510738231832555], [11.328585344254424, 44.5103823971447], [11.328657501060073, 44.5102010478681], [11.328838218429375, 44.509822464630936], [11.32899205527031, 44.50956525002646], [11.329239082507375, 44.50912769679981]]], ""type"": ""MultiLineString""}";2902;Navile
424;13950;VIA CAMILLO CASARINI;34000;VIA INNOCENZO MALVASIA;19400;VIA PIER DE' CRESCENZI;4000/343434;A;137.0;0.0;6709;Itinerario ciclabile;corsia ciclabile su strada;4573;VIA CAMILLO CASARINI;;;;;;;;;44.5028480599, 11.3255462659;"{""coordinates"": [[[11.32532973919412, 44.502256621667094], [11.325358940324008, 44.50228994732981], [11.325383458587407, 44.50234531621997], [11.32558586318388, 44.50296921316711], [11.325743792244264, 44.5034496095312]]], ""type"": ""MultiLineString""}";2902;Porto - Saragozza
436;0;;0;;0;;4000/343434;A;252.0;0.0;3003;Pedonale-Ciclabile;ciclabile contigua al pedonale;;;;;;;;;;;44.506367974, 11.3457771145;"{""coordinates"": [[[11.345940105963649, 44.50694042847729], [11.345614123056029, 44.50579551951202]]], ""type"": ""MultiLineString""}";6718;Navile
379;0;;0;;0;;4000/343434;A;98.0;0.0;6708;Percorso naturalistico;pavimentato;;;;;;;;;;;44.495442964, 11.3001405456;"{""coordinates"": [[[11.300522229193684, 44.49580031317149], [11.299940584207873, 44.49523794855468], [11.29972581016283, 44.49513269259849]]], ""type"": ""MultiLineString""}";6719;Borgo Panigale - Reno
383;0;;0;;0;;4000/343434;A;807.0;0.0;6708;Percorso naturalistico;sterrato;;;;;;;;;;;44.5353432809, 11.3441373977;"{""coordinates"": [[[11.345872308560065, 44.53869137749582], [11.345786314853473, 44.53852894242795], [11.345747563086125, 44.53846302412719], [11.345724581557239, 44.53825821199829], [11.345663399776564, 44.53800027085156], [11.345634422277213, 44.53782378149326], [11.345587245607982, 44.53766951156073], [11.34554557337928, 44.53756315885898], [11.345398273960017, 44.5374043943741], [11.345080953709813, 44.53709417588281], [11.344918392388628, 44.5369085700076], [11.344778301417263, 44.53674917689592], [11.344649213850717, 44.536597163411365], [11.344585570486238, 44.53647821795789], [11.344531409481608, 44.5362656329457], [11.344506758306188, 44.53612114436083], [11.344351120184873, 44.53577685102342], [11.344279508985695, 44.53552825353104], [11.34418486386638, 44.53536778482316], [11.344055242416001, 44.53520253756861], [11.343930089559795, 44.53501844409964], [11.343882706142798, 44.5349071243598], [11.343811013386153, 44.534788634037064], [11.34358087616447, 44.53432891575148], [11.343350901980557, 44.533935774933674], [11.343191100339578, 44.53362504344968], [11.343033575176388, 44.53330479520815], [11.342861431593175, 44.53301714694192], [11.34276975428395, 44.532866783688306], [11.342733137250823, 44.532757230648535], [11.342657800652162, 44.532551471634505], [11.342531944334135, 44.532285840443556], [11.34252117911805, 44.532189271600565], [11.342431236070697, 44.53207400007578], [11.342391268305319, 44.53203198535837], [11.342353381528055, 44.53197110834543]]], ""type"": ""MultiLineString""}";6720;Navile
387;0;;0;;0;;4000/343434;A;349.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5292256389, 11.3345342822;"{""coordinates"": [[[11.334225849196379, 44.5304195996336], [11.334091372349446, 44.53040391977254], [11.333995265342166, 44.53032347344623], [11.333865251275016, 44.52995363437064], [11.333926003553376, 44.52989377767211], [11.334037736249948, 44.5297157199686], [11.334224790901379, 44.52965311773742], [11.334155315353383, 44.52940444305695], [11.334070568060014, 44.529145437892694], [11.334061838402688, 44.52902052979665], [11.334160920804834, 44.52895946147429], [11.334899472830159, 44.52870614988046], [11.33508163017412, 44.52865559337865], [11.335222377820948, 44.52863229500694], [11.335503872026761, 44.528585703367284], [11.335689673549771, 44.52855536200435], [11.335773868399976, 44.52851545746772], [11.335745371695342, 44.52836176990709]]], ""type"": ""MultiLineString""}";2901;Navile
620;21350;VIA EMILIA LEVANTE;40830;VIA GASPARE NADI;33540;VIA PIETRO MAINOLDI;4000/343434;A;47.0;0.0;3003;Pedonale-Ciclabile;promiscuo ciclopedonale;9983;VIA EMILIA LEVANTE;;;;;;;;;44.4830282368, 11.3758460003;"{""coordinates"": [[[11.37610503077285, 44.48292855091308], [11.375586969868376, 44.48312792264516]]], ""type"": ""MultiLineString""}";6717;San Donato - San Vitale
622;13930;VIA ACHILLE CASANOVA;0;;0;;4000/343434;A;394.0;0.0;3002;Ciclabile;sede propria;10763;VIA GASPARE NADI;7659;VIA ACHILLE CASANOVA;1695;VIA ACHILLE CASANOVA;7658;VIA ACHILLE CASANOVA;;;44.4829282729, 11.3761050064;"{""coordinates"": [[[11.376104981950576, 44.48292799487052], [11.37610503077285, 44.48292855091308]]], ""type"": ""MultiLineString""}";2901;San Donato - San Vitale
1233;0;;0;;0;;4000/343434;A;105.0;0.0;6708;Percorso naturalistico;pavimentato;;;;;;;;;;;44.4644653754, 11.376324861;"{""coordinates"": [[[11.37608428588747, 44.46410330997847], [11.376021255171844, 44.46415873648929], [11.375991741522808, 44.46420663301758], [11.37601906176716, 44.46426869562662], [11.376458343615788, 44.46457496027586], [11.376516083226438, 44.464611555031276], [11.376763498524802, 44.46479739689437]]], ""type"": ""MultiLineString""}";6719;Savena
1341;0;;0;;0;;4000/343434;A;429.0;0.0;6708;Percorso naturalistico;pavimentato;;;;;;;;;;;44.4668292065, 11.3824749081;"{""coordinates"": [[[11.38468987967548, 44.46658832342006], [11.384215265272108, 44.46655217986984], [11.38374308761526, 44.46648362876605], [11.383541091557305, 44.466450006617144], [11.383213632419022, 44.466402772942786], [11.383022423834925, 44.466355451360165], [11.382851246038156, 44.466334685703565], [11.38270387884055, 44.46634039683735], [11.382564858757751, 44.466364810692916], [11.38220053628732, 44.46652324521606], [11.381675056260825, 44.4668089323597], [11.38156175574111, 44.466905603019754], [11.381289546115344, 44.46718616413114], [11.38123349941542, 44.46729516080384], [11.38111349964912, 44.46751185476021], [11.380995892926887, 44.46778819196833], [11.380924738875184, 44.467995771795664], [11.380896028766395, 44.46812925439951], [11.380924977264991, 44.46820778996422]]], ""type"": ""MultiLineString""}";6719;Savena
1342;0;;0;;0;;4000/343434;A;241.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5130704293, 11.4016112002;"{""coordinates"": [[[11.400245097970963, 44.51353575304403], [11.402977302371022, 44.51260510551705]]], ""type"": ""MultiLineString""}";2901;San Donato - San Vitale
568;0;;0;;0;;4000/343434;A;411.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5029460036, 11.3558821568;"{""coordinates"": [[[11.353674542562933, 44.50383124983297], [11.354026561726814, 44.503698625266374], [11.354602355708405, 44.503488654150864], [11.356862860095788, 44.50257698712683], [11.357236550017953, 44.50241976350394], [11.357456516956608, 44.502283240338315], [11.357750450946074, 44.50207660954414], [11.357973080844722, 44.50185729835667]]], ""type"": ""MultiLineString""}";2901;Santo Stefano
574;0;;0;;0;;4000/343434;A;62.0;0.0;3003;Pedonale-Ciclabile;promiscuo ciclopedonale;;;;;;;;;;;44.4984648325, 11.3604093164;"{""coordinates"": [[[11.360742649862676, 44.49837113433905], [11.360541538823448, 44.49844581264093], [11.36019794078578, 44.498477944011334], [11.360147465325483, 44.49862272677829]]], ""type"": ""MultiLineString""}";6717;San Donato - San Vitale
575;0;;0;;0;;4000/343434;A;161.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.4977396968, 11.3600288817;"{""coordinates"": [[[11.359643141948908, 44.49824698496074], [11.359682525708571, 44.49825076735238], [11.35986068315707, 44.498275653944226], [11.359883079242943, 44.49825621862518], [11.360041230842015, 44.49775719918326], [11.36020226476559, 44.49726019537539], [11.360272132214254, 44.49702139144095]]], ""type"": ""MultiLineString""}";2901;San Donato - San Vitale
580;0;;0;;0;;4000/343434;A;42.0;0.0;3003;Pedonale-Ciclabile;promiscuo ciclopedonale;;;;;;;;;;;44.4957868425, 11.3602050813;"{""coordinates"": [[[11.36046738676862, 44.49582033308526], [11.35994277583587, 44.49575335188223]]], ""type"": ""MultiLineString""}";6717;San Donato - San Vitale
602;41700;VIA NUOVA;35000;VIA CARLOTTA MARCHIONNI;58400;VIA DELLA TORRETTA;4000/343434;A;120.0;0.0;3002;Ciclabile;sede propria;9774;VIA NUOVA;;;;;;;;;44.4969462654, 11.3732137577;"{""coordinates"": [[[11.373288485987919, 44.49640736915287], [11.373295574549505, 44.49647050278494], [11.373126809843061, 44.497458600019705], [11.373119336442697, 44.49748399939886]]], ""type"": ""MultiLineString""}";2901;San Donato - San Vitale
1270;0;;0;;0;;4000/343434;A;169.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5110364631, 11.4139000556;"{""coordinates"": [[[11.412870089848218, 44.51084701170679], [11.413103530966943, 44.51087557584055], [11.414927485016086, 44.51124164011717]]], ""type"": ""MultiLineString""}";2901;San Donato - San Vitale
1273;0;;0;;0;;4000/343434;A;184.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.4991008739, 11.3599112199;"{""coordinates"": [[[11.359687887344515, 44.49857141661815], [11.359854075122024, 44.498590780224504], [11.359977151672005, 44.49858831073684], [11.360147465325483, 44.49862272677829], [11.360117174590675, 44.49874440160444], [11.359913685395307, 44.49937133972701], [11.359818928880037, 44.49955169527794], [11.359657459366666, 44.49973589145961], [11.359556097078903, 44.49985755072032]]], ""type"": ""MultiLineString""}";2901;San Donato - San Vitale
